,,,Punting,,,,,,,,,,,
Rk,Tm,G,Pnt,Yds,Y/P,RetYds,Net,NY/P,Lng,TB,TB%,In20,In20%,Blck
1,Tennessee Titans,2,13,645,49.6,61,560,43.1,65,1,7.70%,4,30.80%,0
2,Tampa Bay Buccaneers,2,10,458,45.8,96,342,31.1,62,1,10.00%,2,20.00%,1
3,Minnesota Vikings,2,11,537,48.8,37,500,45.5,59,0,0.00%,2,18.20%,0
4,Chicago Bears,2,10,478,47.8,87,391,39.1,62,0,0.00%,2,20.00%,0
5,Washington Commanders,2,9,432,48,25,387,43,64,1,11.10%,5,55.60%,0
6,Seattle Seahawks,2,9,434,48.2,39,375,41.7,58,1,11.10%,4,44.40%,0
7,New York Jets,2,9,434,48.2,22,392,43.6,55,1,11.10%,4,44.40%,0
8,New York Giants,2,9,422,46.9,2,380,42.2,65,2,22.20%,0,0.00%,0
9,Cleveland Browns,2,8,320,40,46,254,28.2,55,1,12.50%,3,37.50%,1
10,Cincinnati Bengals,2,9,482,53.6,60,382,42.4,63,2,22.20%,3,33.30%,0
11,Houston Texans,2,8,411,51.4,27,364,45.5,61,1,12.50%,3,37.50%,0
12,Baltimore Ravens,2,8,411,51.4,0,391,48.9,59,1,12.50%,3,37.50%,0
13,Los Angeles Rams,2,8,365,45.6,57,288,36,51,1,12.50%,3,37.50%,0
14,New Orleans Saints,2,8,373,46.6,31,322,40.3,54,1,12.50%,3,37.50%,0
15,New England Patriots,2,8,380,47.5,106,274,34.3,71,0,0.00%,2,25.00%,0
16,Philadelphia Eagles,2,8,420,52.5,42,358,44.8,70,1,12.50%,3,37.50%,0
17,Pittsburgh Steelers,2,8,411,51.4,49,342,42.8,64,1,12.50%,2,25.00%,0
18,Green Bay Packers,2,7,377,53.9,69,288,41.1,65,1,14.30%,2,28.60%,0
19,Buffalo Bills,2,7,288,41.1,17,271,38.7,48,0,0.00%,3,42.90%,0
20,Las Vegas Raiders,2,7,363,51.9,23,300,42.9,60,2,28.60%,1,14.30%,0
21,Atlanta Falcons,2,6,277,46.2,60,215,35.8,59,0,0.00%,3,50.00%,0
22,Denver Broncos,2,6,278,46.3,16,262,43.7,53,0,0.00%,6,100.00%,0
23,San Francisco 49ers,2,6,269,44.8,35,234,39,54,0,0.00%,3,50.00%,0
24,Arizona Cardinals,2,6,311,51.8,30,281,46.8,62,0,0.00%,1,16.70%,0
25,Dallas Cowboys,2,6,278,46.3,38,240,40,53,0,0.00%,3,50.00%,0
26,Kansas City Chiefs,2,6,294,49,14,280,46.7,69,0,0.00%,3,50.00%,0
27,Detroit Lions,2,6,289,48.2,48,241,40.2,62,0,0.00%,2,33.30%,0
28,Los Angeles Chargers,2,5,264,52.8,22,242,48.4,56,0,0.00%,2,40.00%,0
29,Carolina Panthers,2,4,181,45.3,36,145,36.3,60,0,0.00%,3,75.00%,0
30,Jacksonville Jaguars,2,4,206,51.5,11,195,48.8,60,0,0.00%,2,50.00%,0
31,Miami Dolphins,2,3,130,43.3,8,122,40.7,48,0,0.00%,2,66.70%,0
,Avg Team,,7.3,350.6,48.4,37.9,300.6,41.1,60,0.6,8.20%,2.6,36.20%,0.1
,League Total,,232,11218,48.4,1214,9618,41.1,71,19,8.20%,84,36.20%,2
,Avg Tm/G,,3.6,175.3,48.4,19,150.3,41.1,,0.3,8.20%,1.3,36.20%,0
