,,,Downs,,,,,,Red Zone,,
Rk,Tm,G,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
1,Cleveland Browns,2,34,16,47.10%,6,3,50.00%,5,4,80.00%
2,San Francisco 49ers,2,29,15,51.70%,2,2,100.00%,7,4,57.10%
3,Las Vegas Raiders,2,31,14,45.20%,3,1,33.30%,4,1,25.00%
4,Philadelphia Eagles,2,27,13,48.10%,1,1,100.00%,5,5,100.00%
5,Tampa Bay Buccaneers,2,28,13,46.40%,2,2,100.00%,4,3,75.00%
6,Dallas Cowboys,2,25,13,52.00%,2,1,50.00%,6,5,83.30%
7,Indianapolis Colts,2,28,13,46.40%,5,3,60.00%,12,5,41.70%
8,Cincinnati Bengals,2,28,13,46.40%,1,1,100.00%,7,5,71.40%
9,Carolina Panthers,2,30,13,43.30%,6,3,50.00%,5,3,60.00%
10,Atlanta Falcons,2,30,12,40.00%,4,3,75.00%,7,2,28.60%
11,Los Angeles Rams,2,25,12,48.00%,2,2,100.00%,9,5,55.60%
12,Buffalo Bills,2,29,12,41.40%,3,3,100.00%,11,7,63.60%
13,Jacksonville Jaguars,2,25,11,44.00%,3,2,66.70%,11,5,45.50%
14,Los Angeles Chargers,2,24,11,45.80%,3,2,66.70%,7,3,42.90%
15,New England Patriots,2,26,11,42.30%,2,2,100.00%,7,4,57.10%
16,Denver Broncos,2,24,10,41.70%,2,0,0.00%,6,4,66.70%
17,Chicago Bears,2,25,10,40.00%,3,0,0.00%,4,4,100.00%
18,New York Giants,2,30,10,33.30%,4,2,50.00%,7,1,14.30%
19,Seattle Seahawks,2,24,9,37.50%,2,1,50.00%,6,3,50.00%
20,Baltimore Ravens,2,23,9,39.10%,1,1,100.00%,7,4,57.10%
21,Pittsburgh Steelers,2,25,9,36.00%,2,1,50.00%,5,4,80.00%
22,Washington Commanders,2,27,9,33.30%,3,1,33.30%,5,4,80.00%
23,New Orleans Saints,2,25,9,36.00%,4,2,50.00%,7,4,57.10%
24,Miami Dolphins,2,20,9,45.00%,4,1,25.00%,3,2,66.70%
25,Kansas City Chiefs,2,26,9,34.60%,6,5,83.30%,5,2,40.00%
26,Green Bay Packers,2,22,9,40.90%,2,1,50.00%,9,6,66.70%
27,Detroit Lions,2,25,9,36.00%,5,4,80.00%,11,7,63.60%
28,Arizona Cardinals,2,22,9,40.90%,1,1,100.00%,7,4,57.10%
29,Tennessee Titans,2,29,8,27.60%,2,1,50.00%,5,1,20.00%
30,New York Jets,2,25,7,28.00%,5,4,80.00%,5,4,80.00%
31,Minnesota Vikings,2,23,7,30.40%,2,1,50.00%,4,2,50.00%
32,Houston Texans,2,18,4,22.20%,2,1,50.00%,3,0,0.00%
,League Total,,,,,,,,,,
